id,user_id,title,description,address,price,distance,apartment_size,room_size,roommates,bathrooms
1,1,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Rosenbergstrasse 51, 9000 St. Gallen",1224.27,2.7,3.4,21.1,4,1
2,4,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Brühlgasse 20, 9000 St. Gallen",1908.53,0.7,2.0,13.8,3,2
3,11,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Neugasse 7, 9000 St. Gallen",1903.05,1.4,3.3,22.0,1,2
4,12,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Marktplatz 5, 9000 St. Gallen",1829.93,0.7,3.0,11.8,3,1
5,13,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Gallusstrasse 10, 9000 St. Gallen",831.22,0.5,2.4,18.5,2,1
6,18,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Vadianstrasse 3, 9000 St. Gallen",1131.82,0.8,2.0,16.3,2,1
7,21,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Multergasse 4, 9000 St. Gallen",1412.37,2.7,4.2,17.2,2,1
8,23,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Bohl 1, 9000 St. Gallen",1976.23,1.4,3.5,16.1,1,1
9,25,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Engelgasse 12, 9000 St. Gallen",1727.83,2.8,3.1,16.0,4,1
10,26,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Poststrasse 10, 9000 St. Gallen",1003.15,0.9,3.1,21.3,2,2
11,27,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Notkerstrasse 6, 9000 St. Gallen",863.92,2.2,2.9,20.4,1,2
12,28,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Zwinglistrasse 15, 9000 St. Gallen",838.72,1.7,2.9,14.9,2,2
13,29,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Schützengarten 8, 9000 St. Gallen",1834.46,1.8,3.5,23.5,1,2
14,30,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Stadthausgasse 5, 9000 St. Gallen",1188.66,1.5,3.8,12.3,2,2
15,32,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Lämmlisbrunnenstrasse 2, 9000 St. Gallen",1263.35,1.0,3.5,13.4,1,1
16,33,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Spisergasse 18, 9000 St. Gallen",1053.0,2.3,3.7,14.5,3,1
17,35,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Rathausgasse 9, 9000 St. Gallen",1688.46,2.3,4.2,16.9,4,2
18,36,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Bahnhofstrasse 25, 9000 St. Gallen",1874.68,1.6,4.5,20.7,2,1
19,37,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Davidstrasse 10, 9000 St. Gallen",1651.85,1.9,4.9,16.5,2,1
20,38,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Schibenertorstrasse 3, 9000 St. Gallen",1214.62,1.6,2.7,21.9,2,1
21,42,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Museumstrasse 7, 9000 St. Gallen",1303.46,0.5,2.8,24.8,1,1
22,43,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Tigerbergstrasse 12, 9000 St. Gallen",1932.3,1.8,4.9,20.9,2,2
23,46,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Unterer Graben 20, 9000 St. Gallen",1779.39,1.1,3.2,21.5,1,1
24,49,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Oberer Graben 11, 9000 St. Gallen",1890.69,1.7,4.0,23.8,2,1
25,50,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Leonhardsstrasse 30, 9000 St. Gallen",1780.12,1.6,4.4,10.3,2,1
26,52,Modern Apartment in the City,"Perfect for students, close to amenities and public transport.","Gerbergasse 17, 9000 St. Gallen",1346.56,2.4,5.0,22.5,4,2
27,55,Affordable Flat for Students,Cozy apartment with modern furnishings and a central location.,"Winkelriedstrasse 22, 9000 St. Gallen",1900.96,1.3,4.6,13.3,2,1
28,57,Spacious Rooms in Prime Location,Spacious flat with great natural light and modern appliances.,"Schützengasse 4, 9000 St. Gallen",1204.88,2.0,2.9,13.2,3,1
29,59,Quiet Flat with a Great View,A quiet retreat with all necessary amenities for a comfortable stay.,"Webergasse 13, 9000 St. Gallen",899.11,2.3,2.9,12.1,2,2
30,60,Stylish Apartment in St. Gallen,An affordable option for students and young professionals.,"Kornhausstrasse 19, 9000 St. Gallen",1398.11,2.5,3.8,24.7,1,1
