id,user_id,title,description,address,price,distance,apartment_size,room_size,roommates,bathrooms
1,1,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1559.37,1.8,2.8,25.0,2,1
2,4,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1440.7,1.8,3.4,12.1,1,2
3,11,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",1425.84,2.8,2.5,16.5,1,1
4,12,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1761.81,0.9,3.0,24.1,1,1
5,13,Cozy Apartment in City Center,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1853.36,2.4,3.4,20.8,1,1
6,18,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1628.84,1.8,4.8,14.8,2,2
7,21,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Marktplatz 5, 9000 St. Gallen",1338.04,0.5,3.4,24.8,3,1
8,23,Spacious Flat with Scenic Views,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1689.54,0.6,4.2,16.1,1,1
9,25,Stylish Shared Apartment,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1694.89,1.3,2.1,14.2,1,1
10,26,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Gallusstrasse 10, 9000 St. Gallen",1227.94,0.9,3.2,11.5,3,1
11,27,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1816.03,0.9,4.7,15.5,3,1
12,28,Spacious Flat with Scenic Views,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",841.31,2.7,3.0,15.5,3,2
13,29,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1371.79,2.0,3.0,15.7,3,1
14,30,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Brühlgasse 20, 9000 St. Gallen",1306.43,1.3,4.6,22.9,4,2
15,32,Comfortable and Quiet Flat,"Shared apartment with friendly roommates, great for networking.","Neugasse 7, 9000 St. Gallen",1293.4,2.5,4.4,19.0,4,1
16,33,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Neugasse 7, 9000 St. Gallen",1579.74,2.5,4.6,21.7,1,1
17,35,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1455.26,1.4,3.7,14.2,2,1
18,36,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1497.95,2.0,3.4,21.2,2,2
19,37,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Neugasse 7, 9000 St. Gallen",1221.92,1.0,4.1,17.8,4,2
20,38,Comfortable and Quiet Flat,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1722.14,0.6,4.2,18.1,4,2
21,42,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Marktplatz 5, 9000 St. Gallen",1339.1,2.8,2.1,20.7,2,1
22,43,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Marktplatz 5, 9000 St. Gallen",989.62,1.9,4.8,23.5,1,2
23,46,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Gallusstrasse 10, 9000 St. Gallen",1347.79,0.7,3.9,21.9,4,2
24,49,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1993.73,3.0,4.4,21.3,2,2
25,50,Modern and Affordable Flat,"Perfect for students, with all necessary amenities nearby.","Brühlgasse 20, 9000 St. Gallen",1426.15,1.4,4.3,18.6,3,2
26,52,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",1774.3,1.7,3.3,18.0,2,2
27,55,Modern and Affordable Flat,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1134.47,2.1,2.3,24.6,2,1
28,57,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",902.54,1.2,3.7,16.1,4,2
29,59,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",866.89,0.6,4.4,14.7,2,1
30,60,Spacious Flat with Scenic Views,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1875.22,1.9,3.7,13.7,3,1
31,61,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Neugasse 7, 9000 St. Gallen",1786.96,2.5,4.9,10.6,1,1
32,62,Spacious Flat with Scenic Views,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1032.72,1.8,3.1,19.0,2,2
33,63,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1120.17,1.3,3.3,23.4,1,2
34,64,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1982.66,1.7,4.2,14.2,2,1
35,66,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1590.55,2.3,2.6,14.0,3,1
36,67,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1729.66,2.9,2.4,20.1,3,1
